tag_no,category_name,category_prefix,product_name,image_filename,Sizes,Quantity,short_description, total_amount ,,,,
KW-DW-006,Daily Wear,DW,Azure - Arora,KW-DW-006,N/A,3,"A luxurious gold-tone jewelry set featuring sparkling floral-inspired stones, complete with matching pendant, earrings, and statement ring. Designed to bring timeless glamour to every occasion", QAR 85.00 ,,,,
,,,,,,,,,,,,
KW-LMTE-001,Limited Edition,LMTE,Azure - Golden Secret,KW-LMTE-001,N/A,2,"Elegant open cuff bracelet featuring a butterfly accent with warm amber toned and shimmering clear artificial stones, finished in a luxurious gold tone design for a graceful statement.", QAR 80.00 ,,,,
KW-LMTE-002,Limited Edition,LMTE,Azure - Royal Blossom,KW-LMTE-002,N/A,2,"Stylish gold tone open cuff bracelet adorned with emerald-green and sparkling clear artificial stones, complemented by a delicate butterfly motif for a sophisticated finish.", QAR 80.00 ,,,,
KW-LMTE-003,Limited Edition,LMTE,Azure - Desert Rose,KW-LMTE-003,N/A,2,"Premium gold tone open cuff bracelet showcasing vibrant green and red artificial stones with dazzling clear accents and an elegant butterfly centerpiece, perfect for special occasions.", QAR 80.00 ,,,,
KW-LMTE-004,Limited Edition,LMTE,Azure - Royale,KW-LMTE-004,N/A,3,"Modern enamel bangle featuring soft turquoise and ivory tones, highlighted with deep red and sparkling artificial stones for a bold yet elegant contemporary look.", QAR 165.00 ,,,,
KW-LMTE-005,Limited Edition,LMTE,Azure - Elite Shine,KW-LMTE-005,N/A,4,"Luxurious silver tone bangle fully embellished with brilliant clear artificial stones, creating exceptional sparkle and timeless elegance for both formal and evening wear.", QAR 150.00 ,,,,
KW-LMTE-006,Limited Edition,LMTE,Azure - Royal Glow,KW-LMTE-006,N/A,2,"Elegant gold tone link bracelet featuring alternating polished links and shimmering clear artificial stone accents, offering a refined blend of modern style and everyday sophistication.", QAR 85.00 ,,,,
KW-LMTE-007,Limited Edition,LMTE,Azure - Royal Sparkle,KW-LMTE-007,N/A,2,"Contemporary gold tone bracelet with interlocking circular links embellished with brilliant clear artificial stones, designed to add effortless elegance to any outfit.", QAR 125.00 ,,,,
KW-LMTE-008,Limited Edition,LMTE,Azure - Cystology,KW-LMTE-008,N/A,1,"Exquisite silver tone necklace set featuring a statement necklace and matching chandelier earrings, beautifully crafted with radiant clear artificial stones for glamorous occasion wear.", QAR 500.00 ,,,,
KW-LMTE-009,Limited Edition,LMTE,Azure - Arabian Oasis,KW-LMTE-009,N/A,2,"Elegant silver tone pendant set featuring matching earrings adorned with lustrous imitation pearls and shimmering clear artificial stones, perfect for timeless everyday elegance.", QAR 150.00 ,,,,
KW-LMTE-010,Limited Edition,LMTE,Azure - Royale Spark,KW-LMTE-010,N/A,3,"Contemporary gold tone pendant set accented with vibrant red, turquoise enamel, and sparkling clear artificial stones, creating a bold and artistic statement for any occasion.", QAR 200.00 ,,,,
,,,,,,,,,,,,
KW-PD-001-1,Pendant,PD,Azure - Noble Pink,KW-PD-001-1,N/A,4,"Elegant gold tone Arabic calligraphy pendant featuring pink and clear artificial stones, beautifully crafted to add a graceful and meaningful touch to your jewelry collection.", QAR 100.00 ,,,,
KW-PD-001-2,Pendant,PD,Azure - Noble Gold,KW-PD-001-2,N/A,5,"Classic gold tone Arabic calligraphy pendant embellished with shimmering clear artificial stones, offering a timeless blend of elegance and spiritual inspiration.", QAR 100.00 ,,,,
KW-PD-001-3,Pendant,PD,Azure - Noble Green,KW-PD-001-3,N/A,2,"Sophisticated gold tone Arabic calligraphy pendant accented with vibrant green and clear artificial stones, designed to make a refined statement for everyday or occasion wear.", QAR 100.00 ,,,,
KW-PD-001-4,Pendant,PD,Azure - Noble Black,KW-PD-001-4,N/A,3,"Striking gold tone Arabic calligraphy pendant featuring bold black and sparkling clear artificial stones, combining modern style with elegant craftsmanship.", QAR 100.00 ,,,,
KW-PD-002,Pendant,PD,Azure - Moon,KW-PD-002,N/A,7,Luxurious gold tone round pendant showcasing concentric layers of brilliant clear artificial stones surrounding a sparkling centerpiece for timeless sophistication., QAR 100.00 ,,,,
KW-PD-003,Pendant,PD,Azure - Bloom,KW-PD-003,N/A,8,"Refined gold tone circular pendant featuring a dazzling clear artificial center stone framed by delicate concentric rows of shimmering artificial stones, perfect for elegant everyday wear.", QAR 125.00 ,,,,
,,,,,,,,,,,,
KW-NS-001,Necklace Set,NS,Azure - Crystal Noir,KW-NS-001,N/A,3,"Elegant silver tone necklace set featuring sparkling floral motifs with brilliant clear artificial stones, paired with matching drop earrings for timeless sophistication.", QAR 250.00 ,,,,
KW-NS-002,Necklace Set,NS,Azure - Blue Noir,KW-NS-002,N/A,3,"Graceful silver tone floral necklace set adorned with deep blue artificial stones and shimmering crystal accents, perfect for evening wear and special occasions.", QAR 250.00 ,,,,
KW-NS-003,Necklace Set,NS,Azure - Mint Noir,KW-NS-003,N/A,3,Charming silver tone necklace set featuring floral inspired mint green artificial stones with dazzling clear crystal accents for a fresh and elegant look., QAR 250.00 ,,,,
KW-NS-004,Necklace Set,NS,Azure - Pink Noir,KW-NS-004,N/A,3,"Beautiful silver tone floral necklace set embellished with soft pink artificial stones and sparkling crystal details, creating a graceful and feminine finish.", QAR 250.00 ,,,,
KW-NS-005,Necklace Set,NS,Azure - Celestial Glow,KW-NS-005,N/A,3,"Minimalist silver tone pendant set featuring a sculpted floral design with brilliant clear artificial stone accents, ideal for everyday elegance and gifting.", QAR 150.00 ,,,,
KW-NS-006,Necklace Set,NS,Azure - Charm,KW-NS-006,N/A,3,Modern silver tone pendant set showcasing a graceful abstract design highlighted with a brilliant clear artificial centerpiece and matching stud earrings., QAR 150.00 ,,,,
KW-NS-007,Necklace Set,NS,Azure - Eternal Spark,KW-NS-007,N/A,3,"Elegant silver tone pendant and earring set featuring an intricate floral heart design with sparkling clear artificial stones, perfect for both casual and formal wear.", QAR 150.00 ,,,,
KW-NS-008,Necklace Set,NS,Azure - Majestic,KW-NS-008,N/A,3,"Contemporary silver tone pendant set accented with brilliant round artificial stones and delicate floral details, offering a refined sparkle for any occasion.", QAR 150.00 ,,,,
,,,,,,,,,,,,
KW-OCC-001,Occasion,OCC,Azure - Green Victorian,KW-OCC-001,N/A,4,"Luxurious gold tone bridal cuff featuring intricate floral filigree, shimmering artificial crystals, and elegant green artificial stones for a regal occasion look.", QAR 200.00 ,,,,
KW-OCC-002,Occasion,OCC,Azure - Red Victorian,KW-OCC-002,N/A,6,"Statement gold tone occasion cuff beautifully crafted with floral detailing, sparkling artificial crystals, and red artificial stones for timeless elegance.", QAR 200.00 ,,,,
KW-OCC-003,Occasion,OCC,Azure - Gold Victorian,KW-OCC-003,N/A,5,"Premium gold tone designer cuff showcasing detailed openwork patterns, floral accents, and brilliant artificial crystals for an opulent finish.", QAR 200.00 ,,,,
KW-OCC-004,Occasion,OCC,Azure - Timeless,KW-OCC-004,N/A,2,"Elegant silver tone floral cuff adorned with green artificial stones and sparkling crystal accents, perfect for weddings and festive occasions.", QAR 100.00 ,,,,
KW-OCC-005,Occasion,OCC,Azure - Timeless Green,KW-OCC-005,N/A,2,Sophisticated gold tone floral cuff featuring vibrant green artificial stones surrounded by delicate pearl-style detailing and shimmering artificial crystals., QAR 100.00 ,,,,
KW-OCC-006,Occasion,OCC,Azure - Timeless Red,KW-OCC-006,N/A,2,"Luxury gold tone statement cuff embellished with red artificial stones, intricate floral motifs, pearl inspired accents, and dazzling artificial crystals for a grand traditional look.", QAR 100.00 ,,,,
KW-OCC-007,Occasion,OCC,Azure - Royalty,KW-OCC-007,N/A,3,"Traditional bridal style choker set featuring matching jhumka earrings, beautifully embellished with green, red, pearl-inspired, and shimmering artificial stones in an intricate gold tone finish, ideal for weddings and festive celebrations.", QAR 275.00 ,,,,
,,,,,,,,,,,,
KW-BNG-001,Bangles,BNG,Azure - Arabian Nights,KW-BNG-001,N/A,8,Elegant silver tone bangle featuring deep blue artificial stones paired with brilliant clear crystals for a luxurious statement look., QAR 85.00 ,,,,
KW-BNG-002,Bangles,BNG,Azure - Dazzle,KW-BNG-002,2.6,3,"Classic silver tone tennis bangle adorned with sparkling round-cut artificial crystals, perfect for everyday elegance and special occasions.", QAR 115.00 ,,,,
KW-BNG-002,Bangles,BNG,Azure - Dazzle,KW-BNG-002,2.8,4,"Classic silver tone tennis bangle adorned with sparkling round-cut artificial crystals, perfect for everyday elegance and special occasions.", QAR 115.00 ,,,,
KW-BNG-002,Bangles,BNG,Azure - Dazzle,KW-BNG-002,2.1,4,"Classic silver tone tennis bangle adorned with sparkling round-cut artificial crystals, perfect for everyday elegance and special occasions.", QAR 115.00 ,,,,
KW-BNG-003,Bangles,BNG,Azure - Infiniti,KW-BNG-003,2.1,8,"Sophisticated silver tone bangle showcasing artificial crystals with a timeless, refined finish.", QAR 175.00 ,,,,
KW-BNG-004,Bangles,BNG,Azure - Blue Nile,KW-BNG-004,2.6,4,Luxury silver tone bangle embellished with rich blue artificial stones and shimmering crystal accents for an eye catching appearance., QAR 175.00 ,,,,
KW-BNG-004,Bangles,BNG,Azure - Blue Nile,KW-BNG-004,2.8,4,Luxury silver tone bangle embellished with rich blue artificial stones and shimmering crystal accents for an eye catching appearance., QAR 175.00 ,,,,
KW-BNG-004,Bangles,BNG,Azure - Blue Nile,KW-BNG-004,2.1,4,Luxury silver tone bangle embellished with rich blue artificial stones and shimmering crystal accents for an eye catching appearance., QAR 175.00 ,,,,
KW-BNG-005,Bangles,BNG,Azure - Blue Symphony,KW-BNG-005,2.6,4,Graceful floral inspired silver tone bangle featuring blue and clear artificial stones with exceptional sparkle., QAR 100.00 ,,,,
KW-BNG-005,Bangles,BNG,Azure - Blue Symphony,KW-BNG-005,2.1,4,Graceful floral inspired silver tone bangle featuring blue and clear artificial stones with exceptional sparkle., QAR 100.00 ,,,,
KW-BNG-006,Bangles,BNG,Azure - Delicate Delight,KW-BNG-006,2.6,12,Delicate silver tone bangle accented with brilliant artificial crystals in a sleek and minimalist design., QAR 25.00 ,,,,
KW-BNG-006,Bangles,BNG,Azure - Delicate Delight,KW-BNG-006,2.8,12,Delicate silver tone bangle accented with brilliant artificial crystals in a sleek and minimalist design., QAR 25.00 ,,,,
KW-BNG-006,Bangles,BNG,Azure - Delicate Delight,KW-BNG-006,2.1,12,Delicate silver tone bangle accented with brilliant artificial crystals in a sleek and minimalist design., QAR 25.00 ,,,,
KW-BNG-007,Bangles,BNG,Azure - Imperial Glow,KW-BNG-007,2.6,8,"Premium silver tone bangle crafted with mixed-cut artificial crystals, offering a sophisticated and radiant finish.", QAR 85.00 ,,,,
KW-BNG-007,Bangles,BNG,Azure - Imperial Glow,KW-BNG-007,2.8,8,"Premium silver tone bangle crafted with mixed-cut artificial crystals, offering a sophisticated and radiant finish.", QAR 85.00 ,,,,
KW-BNG-007,Bangles,BNG,Azure - Imperial Glow,KW-BNG-007,2.1,8,"Premium silver tone bangle crafted with mixed-cut artificial crystals, offering a sophisticated and radiant finish.", QAR 85.00 ,,,,
KW-BNG-008,Bangles,BNG,Azure - Imperial Gold,KW-BNG-008,2.6,4,Elegant gold tone floral bangle adorned with clear artificial stones for a luxurious and timeless style., QAR 85.00 ,,,,
KW-BNG-008,Bangles,BNG,Azure - Imperial Gold,KW-BNG-008,2.8,4,Elegant gold tone floral bangle adorned with clear artificial stones for a luxurious and timeless style., QAR 85.00 ,,,,
KW-BNG-009,Bangles,BNG,Azure - Imperial Mist,KW-BNG-009,2.6,4,Classic gold tone tennis bangle featuring ovalcut artificial crystals that add effortless sparkle to any outfit., QAR 85.00 ,,,,
KW-BNG-009,Bangles,BNG,Azure - Imperial Mist,KW-BNG-009,2.8,3,Classic gold tone tennis bangle featuring ovalcut artificial crystals that add effortless sparkle to any outfit., QAR 85.00 ,,,,
KW-BNG-010,Bangles,BNG,Azure - Tradition,KW-BNG-010,2.6,24,"Designer inspired gold tone textured bangle with intricate detailing, offering a bold and sophisticated look.", QAR 25.00 ,,,,
KW-BNG-010,Bangles,BNG,Azure - Tradition,KW-BNG-010,2.8,12,"Designer inspired gold tone textured bangle with intricate detailing, offering a bold and sophisticated look.", QAR 25.00 ,,,,
KW-BNG-010,Bangles,BNG,Azure - Tradition,KW-BNG-010,2.1,28,"Designer inspired gold tone textured bangle with intricate detailing, offering a bold and sophisticated look.", QAR 25.00 ,,,,
KW-BNG-011,Bangles,BNG,Azure - Sleek Shine,KW-BNG-011,2.6,12,"Slim silver tone crystal bangle with delicate artificial stones, ideal for stacking or wearing alone.", QAR 25.00 ,,,,
KW-BNG-011,Bangles,BNG,Azure - Sleek Shine,KW-BNG-011,2.8,12,"Slim silver tone crystal bangle with delicate artificial stones, ideal for stacking or wearing alone.", QAR 25.00 ,,,,
KW-BNG-011,Bangles,BNG,Azure - Sleek Shine,KW-BNG-011,2.1,12,"Slim silver tone crystal bangle with delicate artificial stones, ideal for stacking or wearing alone.", QAR 25.00 ,,,,
KW-BNG-012,Bangles,BNG,Azure - Sleek Shimmer,KW-BNG-012,2.6,12,Refined silver tone bangle featuring a continuous row of sparkling artificial crystals for understated elegance., QAR 25.00 ,,,,
KW-BNG-012,Bangles,BNG,Azure - Sleek Shimmer,KW-BNG-012,2.8,12,Refined silver tone bangle featuring a continuous row of sparkling artificial crystals for understated elegance., QAR 25.00 ,,,,
KW-BNG-012,Bangles,BNG,Azure - Sleek Shimmer,KW-BNG-012,2.1,12,Refined silver tone bangle featuring a continuous row of sparkling artificial crystals for understated elegance., QAR 25.00 ,,,,
KW-BNG-013,Bangles,BNG,Azure - Sleek Bow,KW-BNG-013,2.6,12,Luxury silver tone floral bangle decorated with dazzling clear artificial stones for a sophisticated sparkle., QAR 25.00 ,,,,
KW-BNG-013,Bangles,BNG,Azure - Sleek Bow,KW-BNG-013,2.8,12,Luxury silver tone floral bangle decorated with dazzling clear artificial stones for a sophisticated sparkle., QAR 25.00 ,,,,
KW-BNG-013,Bangles,BNG,Azure - Sleek Bow,KW-BNG-013,2.1,12,Luxury silver tone floral bangle decorated with dazzling clear artificial stones for a sophisticated sparkle., QAR 25.00 ,,,,
KW-BNG-014,Bangles,BNG,Azure - Aqua,KW-BNG-014,2.6,2,Vintage inspired silver tone bangle embellished with soft green and pearl-look artificial stones for a graceful finish., QAR 75.00 ,,,,
KW-BNG-014,Bangles,BNG,Azure - Aqua,KW-BNG-014,2.8,2,Vintage inspired silver tone bangle embellished with soft green and pearl-look artificial stones for a graceful finish., QAR 75.00 ,,,,
KW-BNG-014,Bangles,BNG,Azure - Aqua,KW-BNG-014,2.1,2,Vintage inspired silver tone bangle embellished with soft green and pearl-look artificial stones for a graceful finish., QAR 75.00 ,,,,
KW-BNG-015,Bangles,BNG,Azure - Sleek Sparkle,KW-BNG-015,2.6,12,"Elegant two tone bangle accented with alternating gold and silver detailing, enhanced by brilliant artificial crystals.", QAR 25.00 ,,,,
KW-BNG-015,Bangles,BNG,Azure - Sleek Sparkle,KW-BNG-015,2.8,12,"Elegant two tone bangle accented with alternating gold and silver detailing, enhanced by brilliant artificial crystals.", QAR 25.00 ,,,,
KW-BNG-015,Bangles,BNG,Azure - Sleek Sparkle,KW-BNG-015,2.1,12,"Elegant two tone bangle accented with alternating gold and silver detailing, enhanced by brilliant artificial crystals.", QAR 25.00 ,,,,
KW-BNG-016,Bangles,BNG,Azure - Moon light,KW-BNG-016,2.6,4,"Stylish silver tone floral bangle crafted with brilliant clear artificial stones, offering timeless elegance and everyday luxury.", QAR 100.00 ,,,,
KW-BNG-016,Bangles,BNG,Azure - Moon light,KW-BNG-016,2.1,4,"Stylish silver tone floral bangle crafted with brilliant clear artificial stones, offering timeless elegance and everyday luxury.", QAR 100.00 ,,,,
KW-BNG-017,Bangles,BNG,Azure - Twisted Fantacy,KW-BNG-017,2.6,4,Premium gold tone bracelet style bangle featuring geometric links and brilliant clear artificial crystals., QAR 100.00 ,,,,
KW-BNG-017,Bangles,BNG,Azure - Twisted Fantacy,KW-BNG-017,2.8,4,Premium gold tone bracelet style bangle featuring geometric links and brilliant clear artificial crystals., QAR 100.00 ,,,,
KW-BNG-017,Bangles,BNG,Azure - Twisted Fantacy,KW-BNG-017,2.1,4,Premium gold tone bracelet style bangle featuring geometric links and brilliant clear artificial crystals., QAR 100.00 ,,,,
KW-BNG-018,Bangles,BNG,Azure - Aqua Bliss,KW-BNG-018,2.6,4,Elegant silver tone vine inspired bangle adorned with vibrant green artificial stones and sparkling crystal accents., QAR 100.00 ,,,,
KW-BNG-018,Bangles,BNG,Azure - Aqua Bliss,KW-BNG-018,2.8,4,Elegant silver tone vine inspired bangle adorned with vibrant green artificial stones and sparkling crystal accents., QAR 100.00 ,,,,
KW-BNG-018,Bangles,BNG,Azure - Aqua Bliss,KW-BNG-018,2.1,4,Elegant silver tone vine inspired bangle adorned with vibrant green artificial stones and sparkling crystal accents., QAR 100.00 ,,,,
KW-BNG-019,Bangles,BNG,Azure - Fantacy Blue,KW-BNG-019,2.6,4,Modern silver tone bracelet featuring royal blue square cut artificial stones with shimmering crystal embellishments., QAR 100.00 ,,,,
KW-BNG-019,Bangles,BNG,Azure - Fantacy Blue,KW-BNG-019,2.8,4,Modern silver tone bracelet featuring royal blue square cut artificial stones with shimmering crystal embellishments., QAR 100.00 ,,,,
KW-BNG-019,Bangles,BNG,Azure - Fantacy Blue,KW-BNG-019,2.1,4,Modern silver tone bracelet featuring royal blue square cut artificial stones with shimmering crystal embellishments., QAR 100.00 ,,,,
,,,,,,,,,,,,
KW-BRC-001,Bracelets,BRC,Azure - Royal Spark,KW-BRC-001,N/A,5,A contemporary two-tone bracelet combining textured gold detailing with sparkling crystal infinity for a bold yet elegant statement.,QAR 125.00,,,,
KW-BRC-002,Bracelets,BRC,Azure - Modern Charm,KW-BRC-002,N/A,4,"A sleek silver-tone bracelet featuring a row of shimmering white stones, offering a sophisticated finish for both day and evening wear",QAR 85.00,,,,
KW-BRC-003,Bracelets,BRC,Azure - Elite,KW-BRC-003,N/A,7,"A delicate open bracelet with a sparkling heart and rose motif, blending romance and elegance in a timeless silver-tone design.",QAR 85.00,,,,
KW-BRC-004,Bracelets,BRC,Azure - Statement Wrist,KW-BRC-004,N/A,4,"An elegant vine-inspired bracelet embellished with marquise-cut zircon stones, creating a graceful and nature-inspired statement.",QAR 85.00,,,,
KW-BRC-005,Bracelets,BRC,Azure - Pave Beauty,KW-BRC-005,N/A,5,"A contemporary silver-tone bracelet featuring a dazzling pavé triangle centerpiece, perfect for adding modern sophistication to any outfit.",QAR 85.00,,,,
KW-BRC-006,Bracelets,BRC,Azure - Glam,KW-BRC-006,N/A,5,"A stylish crossover bracelet accented with brilliant crystal details and geometric elements, crafted for effortless everyday elegance.",QAR 85.00,,,,
KW-BRC-007,Bracelets,BRC,Azure - Muse,KW-BRC-007,N/A,3,"A refined bracelet showcasing polished crystal-studded beads with shimmering accents, offering a classic design with a touch of luxury.",QAR 85.00,,,,
KW-BRC-008,Bracelets,BRC,Azure - Twist,KW-BRC-008,N/A,5,A graceful silver-tone bracelet featuring sparkling crystal accents in a delicate vine-inspired design. Perfect for adding refined elegance to any look.,QAR 45.00,,,,
KW-BRC-009,Bracelets,BRC,Azure - Simple Sophistication,KW-BRC-009,N/A,5,A sophisticated bracelet showcasing a brilliant princess-cut center stone with shimmering side crystals. Designed for timeless luxury and everyday glamour.,QAR 45.00,,,,
KW-BRC-010,Bracelets,BRC,Azure - Minimal Glow,KW-BRC-010,N/A,5,An elegant gold-tone bracelet adorned with a floral crystal centerpiece and delicate pavé detailing. A graceful choice for festive and formal occasions,QAR 65.00,,,,
KW-BRC-011,Bracelets,BRC,Azure - Party Glam,KW-BRC-011,N/A,3,"A sleek gold-tone bracelet featuring rows of shimmering pavé stones with polished accents, offering a refined and luxurious finish.",QAR 85.00,,,,
KW-BRC-012,Bracelets,BRC,Azure - Infiniti,KW-BRC-012,N/A,3,"A graceful infinity-inspired bracelet adorned with sparkling zircon stones, designed to symbolize timeless elegance and everlasting style.",QAR 100.00,,,,
KW-BRC-013,Bracelets,BRC,Azure - Halo,KW-BRC-013,N/A,3,A striking gold-tone bracelet featuring geometric openwork and a crystal-studded circular centerpiece. Perfect for adding modern sophistication.,QAR 85.00,,,,
KW-BRC-014,Bracelets,BRC,Azure - Enchanted,KW-BRC-014,N/A,3,A refined gold-tone bracelet with crystal-embellished rectangular links and a polished center accent. Designed for effortless everyday elegance.,QAR 45.00,,,,
KW-BRC-015,Bracelets,BRC,Azure - Reserve,KW-BRC-015,N/A,3,A contemporary gold-tone bracelet highlighted by a sparkling crystal bar and sleek geometric lines. A versatile piece for both casual and formal styling.,QAR 85.00,,,,
KW-BRC-016,Bracelets,BRC,Azure - Regal Bow,KW-BRC-016,N/A,3,A luxurious gold-tone bracelet showcasing an intricate crystal-studded bow centerpiece. Crafted to bring feminine charm and sophistication to every occasion,QAR 125.00,,,,
KW-BRC-017,Bracelets,BRC,Azure - Embrace,KW-BRC-017,N/A,3,"A graceful gold-tone bracelet with intertwined scrollwork and brilliant crystal accents, creating a classic design with timeless appeal.",QAR 85.00,,,,
KW-BRC-018,Bracelets,BRC,Azure - Heritage,KW-BRC-018,N/A,3,An elegant bracelet featuring intertwined infinity-inspired curves adorned with shimmering crystals. A timeless symbol of endless beauty and style.,QAR 85.00,,,,
KW-BRC-019,Bracelets,BRC,Azure - Classic Charm,KW-BRC-019,N/A,3,"A sophisticated open cuff bracelet featuring shimmering pavé accents with elegant striped detailing, creating a refined and contemporary statement.",QAR 125.00,,,,
KW-BRC-020,Bracelets,BRC,Azure - Everyday Elegance,KW-BRC-020,N/A,4,"A modern chain-inspired bangle adorned with sparkling square crystal motifs, offering a bold yet luxurious everyday look.",QAR 85.00,,,,
KW-BRC-021,Bracelets,BRC,Azure - Abstract Glow,KW-BRC-021,N/A,3,An elegant crossover bracelet with flowing leaf-inspired curves and brilliant crystal embellishments for timeless sophistication.,QAR 85.00,,,,
KW-BRC-022,Bracelets,BRC,Azure - Golden Moments,KW-BRC-022,N/A,3,"A minimalist designer bangle featuring an interlocking circular and elongated crystal-studded link, blending modern style with elegance.",QAR 85.00,,,,
KW-BRC-023,Bracelets,BRC,Azure - Delicate Spark,KW-BRC-023,N/A,4,A delicate gold-tone bracelet showcasing brilliant round and pear-cut crystals in a graceful floral-inspired centerpiece for everyday glamour.,QAR 50.00,,,,
KW-BRC-024,Bracelets,BRC,Azure - Delicate Radiance,KW-BRC-024,N/A,3,"A premium woven-link bracelet highlighted with sparkling crystal accents, combining classic craftsmanship with contemporary elegance.",QAR 85.00,,,,
KW-BRC-025,Bracelets,BRC,Azure - Delicate Style,KW-BRC-025,N/A,3,A sleek geometric bracelet featuring a row of brilliant square-cut crystals framed with delicate pavé detailing for a sophisticated finish,QAR 85.00,,,,
KW-BRC-026,Bracelets,BRC,Azure - Delicate Royale,KW-BRC-026,N/A,3,"A refined oval-link bracelet accented with shimmering crystal-studded bars, delivering a clean and elegant contemporary design.",QAR 85.00,,,,
KW-BRC-027,Bracelets,BRC,Azure - Delicate Darling,KW-BRC-027,N/A,3,"A chic bracelet featuring polished oval crystal-encrusted links, creating a luxurious and eye-catching statement for any occasion.",QAR 75.00,,,,
KW-BRC-028,Bracelets,BRC,Azure - Delicate Studs,KW-BRC-028,N/A,3,"A graceful tennis-style bracelet set with brilliant round crystals in a classic gold-tone finish, perfect for effortless everyday elegance.",QAR 85.00,,,,
KW-BRC-029,Bracelets,BRC,Azure - Delicate Shimmers,KW-BRC-029,N/A,3,"A stylish bracelet showcasing sparkling circular crystal clusters connected by polished links, offering a modern yet timeless appeal.",QAR 100.00,,,,
KW-BRC-030,Bracelets,BRC,Azure - Delicate Glow,KW-BRC-030,N/A,3,"A contemporary geometric bracelet with alternating crystal-studded rectangular links, designed to add brilliance and sophistication to any outfit.",QAR 50.00,,,,
,,,,,,,,,,,,
KW-RG-001-1,Rings,RG,Azure - Midnight Spark,KW-RG-001-1,Free,5,A sophisticated silver-tone ring featuring a deep sapphire-blue center stone with intricate crystal detailing for timeless elegance.,QAR 70.00,,,,
KW-RG-001-2,Rings,RG,Azure - Blood Moon,KW-RG-001-2,Free,6,"A luxurious gold-tone ring adorned with a rich ruby-red centerpiece, beautifully accented with shimmering stones.",QAR 70.00,,,,
KW-RG-001-3,Rings,RG,Azure - Moonlight,KW-RG-001-3,Free,6,A dazzling silver-tone statement ring showcasing a brilliant crystal centerpiece surrounded by sparkling accents.,QAR 70.00,,,,
KW-RG-001-4,Rings,RG,Azure - Galaxy Green,KW-RG-001-4,Free,6,"An elegant silver-tone ring featuring a vibrant -green stone, complemented by a pave-set crystal band.",QAR 70.00,,,,
